epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,724.412,0.49004,0.9937,1,0.02104,0.000332845,0.000332845,0.000332845
2,1367.05,0.15497,0.99666,1,0.01244,0.000652988,0.000652988,0.000652988
3,2000.04,0.18015,0.98258,1,0.0555,0.000959931,0.000959931,0.000959931
4,2667.48,0.15913,0.99629,1,0.01419,0.0009406,0.0009406,0.0009406
5,3306.29,0.11237,0.99815,1,0.00893,0.0009208,0.0009208,0.0009208
6,3957.22,0.09464,0.99666,1,0.01049,0.000901,0.000901,0.000901
7,4600.47,0.07947,0.99963,1,0.00426,0.0008812,0.0008812,0.0008812
8,5245.49,0.0704,0.99815,1,0.00552,0.0008614,0.0008614,0.0008614
9,5884.78,0.08059,0.99926,1,0.00336,0.0008416,0.0008416,0.0008416
10,6520.72,0.05476,0.99666,1,0.01026,0.0008218,0.0008218,0.0008218
11,7156.44,0.04836,0.99889,1,0.00333,0.000802,0.000802,0.000802
12,7795.82,0.05023,1,1,0.00136,0.0007822,0.0007822,0.0007822
13,8441.35,0.05189,1,1,0.00253,0.0007624,0.0007624,0.0007624
14,9079.66,0.04057,0.99963,1,0.00169,0.0007426,0.0007426,0.0007426
15,9716.57,0.0395,0.99963,1,0.00137,0.0007228,0.0007228,0.0007228
16,10353.6,0.04134,0.99963,1,0.00176,0.000703,0.000703,0.000703
17,10989.2,0.0422,0.99963,1,0.00105,0.0006832,0.0006832,0.0006832
18,11625.3,0.03448,0.99852,1,0.00456,0.0006634,0.0006634,0.0006634
19,12274.5,0.03489,1,1,0.00064,0.0006436,0.0006436,0.0006436
20,12911.9,0.03171,1,1,0.00081,0.0006238,0.0006238,0.0006238
21,13549.5,0.02715,1,1,0.00068,0.000604,0.000604,0.000604
22,14185.8,0.03091,1,1,0.00042,0.0005842,0.0005842,0.0005842
23,32780.3,0.03563,1,1,0.00052,0.0005644,0.0005644,0.0005644
24,33471.1,0.02883,1,1,0.00037,0.0005446,0.0005446,0.0005446
25,34111.4,0.02424,1,1,0.00037,0.0005248,0.0005248,0.0005248
26,34734.2,0.01804,0.99926,1,0.00099,0.000505,0.000505,0.000505
27,35352.3,0.02009,1,1,0.00018,0.0004852,0.0004852,0.0004852
28,35990,0.01949,1,1,9e-05,0.0004654,0.0004654,0.0004654
29,36658.1,0.0222,1,1,0.0002,0.0004456,0.0004456,0.0004456
30,37309.4,0.0187,1,1,0.0004,0.0004258,0.0004258,0.0004258
31,37950.1,0.01713,0.99926,1,0.00169,0.000406,0.000406,0.000406
32,38586.2,0.01461,1,1,0.00013,0.0003862,0.0003862,0.0003862
33,39250.8,0.01512,1,1,0.00031,0.0003664,0.0003664,0.0003664
34,40004.3,0.02029,1,1,8e-05,0.0003466,0.0003466,0.0003466
35,40685,0.01511,1,1,7e-05,0.0003268,0.0003268,0.0003268
36,41432.4,0.01525,1,1,8e-05,0.000307,0.000307,0.000307
37,42217,0.00905,1,1,6e-05,0.0002872,0.0002872,0.0002872
38,42938,0.01146,1,1,0.00011,0.0002674,0.0002674,0.0002674
39,43672.7,0.00825,1,1,5e-05,0.0002476,0.0002476,0.0002476
40,44368.5,0.01072,1,1,6e-05,0.0002278,0.0002278,0.0002278
41,45085.5,0.00526,1,1,4e-05,0.000208,0.000208,0.000208
42,45843.8,0.00654,1,1,3e-05,0.0001882,0.0001882,0.0001882
43,46482.5,0.00753,1,1,4e-05,0.0001684,0.0001684,0.0001684
44,47121.2,0.0077,1,1,3e-05,0.0001486,0.0001486,0.0001486
45,47754.6,0.00461,1,1,3e-05,0.0001288,0.0001288,0.0001288
46,48378.3,0.00678,1,1,2e-05,0.000109,0.000109,0.000109
47,49001.2,0.00502,1,1,2e-05,8.92e-05,8.92e-05,8.92e-05
48,49644.7,0.00556,1,1,1e-05,6.94e-05,6.94e-05,6.94e-05
49,50320.2,0.00505,1,1,1e-05,4.96e-05,4.96e-05,4.96e-05
50,50984.2,0.00613,1,1,1e-05,2.98e-05,2.98e-05,2.98e-05
